TABLE: USERS
phone_number,name,pin,balance,upi_id,age,verified,risk_score,freeze_count,permanent_frozen,blocked_attempts,bypass_attempts,is_admin
9340228345,Chirayu Mahajan,1167,84250,chirayu@paytrust,21,TRUE,12,0,FALSE,0,0,FALSE
9158763151,Pranav Chopade,2611,32780,pranav@paytrust,30,TRUE,8,0,FALSE,0,0,FALSE
9766876442,Farhan Farooqui,1234,15400,farhan@paytrust,65,FALSE,25,0,FALSE,0,0,FALSE
9876543210,Mehul Patil,9876,67120,mehul@paytrust,19,TRUE,18,0,FALSE,0,0,FALSE
9699189866,Vedant Deshmukh,2805,51900,vedant@paytrust,28,TRUE,5,0,FALSE,0,0,FALSE
9988776655,Rajesh Kumar,5555,125000,rajesh@paytrust,45,TRUE,3,0,FALSE,0,0,FALSE
9123456789,Amit Sharma,1212,45000,amit@paytrust,35,TRUE,7,0,FALSE,0,0,FALSE
8899776655,Sneha Reddy,3434,89000,sneha@paytrust,29,FALSE,2,0,FALSE,0,0,FALSE
7778889990,Vikram Singh,5656,230000,vikram@paytrust,52,TRUE,1,0,FALSE,0,0,FALSE
9988001122,Irfan Khan,7878,34000,irfan@paytrust,42,FALSE,4,0,FALSE,0,0,FALSE
9663355221,Zara Sheikh,9090,67800,zara@paytrust,31,TRUE,6,0,FALSE,0,0,FALSE
8765432109,Rohan Deshmukh,4321,28500,rohan@paytrust,26,FALSE,9,0,FALSE,0,0,FALSE
7654321098,Kavita Sharma,1357,92300,kavita@paytrust,38,TRUE,11,0,FALSE,0,0,FALSE
9699624733,Shivshree Shinde,2002,90000,shivshree@paytrust,19,TRUE,0,0,FALSE,0,0,FALSE
1234567890,Admin,1234,999999,admin@paytrust,99,TRUE,0,0,FALSE,0,0,TRUE

TABLE: CONTACTS
owner_phone,owner_name,contact_phone,contact_name
9340228345,Chirayu Mahajan,9158763151,Pranav Chopade
9340228345,Chirayu Mahajan,9766876442,Farhan Farooqui
9340228345,Chirayu Mahajan,9876543210,Mehul Patil
9340228345,Chirayu Mahajan,9988776655,Rajesh Kumar
9340228345,Chirayu Mahajan,9123456789,Amit Sharma
9340228345,Chirayu Mahajan,9012345678,Priya Patel
9340228345,Chirayu Mahajan,8901234567,Neha Gupta
9158763151,Pranav Chopade,9340228345,Chirayu Mahajan
9158763151,Pranav Chopade,9766876442,Farhan Farooqui
9158763151,Pranav Chopade,9876543210,Mehul Patil
9158763151,Pranav Chopade,8899776655,Sneha Reddy
9158763151,Pranav Chopade,7778889990,Vikram Singh
9158763151,Pranav Chopade,9988112233,Anjali Desai
9766876442,Farhan Farooqui,9340228345,Chirayu Mahajan
9766876442,Farhan Farooqui,9158763151,Pranav Chopade
9766876442,Farhan Farooqui,9876543210,Mehul Patil
9766876442,Farhan Farooqui,9988001122,Irfan Khan
9766876442,Farhan Farooqui,9663355221,Zara Sheikh
9766876442,Farhan Farooqui,9554433221,Imran Ali
9876543210,Mehul Patil,9340228345,Chirayu Mahajan
9876543210,Mehul Patil,9158763151,Pranav Chopade
9876543210,Mehul Patil,9766876442,Farhan Farooqui
9876543210,Mehul Patil,8765432109,Rohan Deshmukh
9876543210,Mehul Patil,7654321098,Kavita Sharma
9699189866,Vedant Deshmukh,9340228345,Chirayu Mahajan
9699189866,Vedant Deshmukh,9158763151,Pranav Chopade
9699189866,Vedant Deshmukh,9988776655,Rajesh Kumar
9699189866,Vedant Deshmukh,9123456789,Amit Sharma
9988776655,Rajesh Kumar,9340228345,Chirayu Mahajan
9988776655,Rajesh Kumar,9699189866,Vedant Deshmukh
9988776655,Rajesh Kumar,9123456789,Amit Sharma
9123456789,Amit Sharma,9340228345,Chirayu Mahajan
9123456789,Amit Sharma,9988776655,Rajesh Kumar
9123456789,Amit Sharma,9699189866,Vedant Deshmukh
8899776655,Sneha Reddy,9158763151,Pranav Chopade
8899776655,Sneha Reddy,7778889990,Vikram Singh
7778889990,Vikram Singh,9158763151,Pranav Chopade
7778889990,Vikram Singh,8899776655,Sneha Reddy
9988001122,Irfan Khan,9766876442,Farhan Farooqui
9988001122,Irfan Khan,9663355221,Zara Sheikh
9663355221,Zara Sheikh,9766876442,Farhan Farooqui
9663355221,Zara Sheikh,9988001122,Irfan Khan
8765432109,Rohan Deshmukh,9876543210,Mehul Patil
8765432109,Rohan Deshmukh,7654321098,Kavita Sharma
7654321098,Kavita Sharma,9876543210,Mehul Patil
7654321098,Kavita Sharma,8765432109,Rohan Deshmukh

TABLE: TRANSACTIONS
tx_id,direction,counterparty_name,counterparty_phone,counterparty_upi,amount,date,time,risk_score,status,type,note,risk_tag,otp_used
